subject,image_i,image_j,doctor_i,doctor_j,try_i,try_j,same_doctor,same_try,dice,iou,pixels_i,pixels_j,doctor_pair,try_pair
S05,S05-B-2.bmp,S05-B-3.bmp,B,B,2,3,True,False,0.71560204,0.5571498055551678,4079,2324,B-B,2-3
S05,S05-B-2.bmp,S05-C-1.bmp,B,C,2,1,False,False,0.21939394,0.12321307031467821,4079,871,B-C,1-2
S05,S05-B-2.bmp,S05-C-2.bmp,B,C,2,2,False,True,0.17137924,0.09372049124321989,4079,554,B-C,2-2
S05,S05-B-2.bmp,S05-C-3.bmp,B,C,2,3,False,False,0.18604651,0.10256410277521427,4079,608,B-C,2-3
S05,S05-B-2.bmp,S05-D-1.bmp,B,D,2,1,False,False,0.13871777,0.07452807083242755,4079,304,B-D,1-2
S05,S05-B-2.bmp,S05-D-2.bmp,B,D,2,2,False,True,0.16182484,0.08803558906859386,4079,568,B-D,2-2
S05,S05-B-2.bmp,S05-D-3.bmp,B,D,2,3,False,False,1.866368e-10,1.8663680474306889e-10,4079,1279,B-D,2-3
S05,S05-B-3.bmp,S05-C-1.bmp,B,C,3,1,False,False,0.30485132,0.17983751876667745,2324,871,B-C,1-3
S05,S05-B-3.bmp,S05-C-2.bmp,B,C,3,2,False,False,0.23766504,0.13485804450518216,2324,554,B-C,2-3
S05,S05-B-3.bmp,S05-C-3.bmp,B,C,3,3,False,True,0.26193723,0.15070643675403986,2324,608,B-C,3-3
S05,S05-B-3.bmp,S05-D-1.bmp,B,D,3,1,False,False,0.23135464,0.130808950460065,2324,304,B-D,1-3
S05,S05-B-3.bmp,S05-D-2.bmp,B,D,3,2,False,False,0.25311205,0.144893111977477,2324,568,B-D,2-3
S05,S05-B-3.bmp,S05-D-3.bmp,B,D,3,3,False,True,2.7754649e-10,2.775464889598816e-10,2324,1279,B-D,3-3
S05,S05-C-1.bmp,S05-C-2.bmp,C,C,1,2,True,False,0.7719298,0.6285714289959183,871,554,C-C,1-2
S05,S05-C-1.bmp,S05-C-3.bmp,C,C,1,3,True,False,0.8221772,0.6980482207829527,871,608,C-C,1-3
S05,S05-C-1.bmp,S05-D-1.bmp,C,D,1,1,False,True,8.5106383e-10,8.510638290629243e-10,871,304,C-D,1-1
S05,S05-C-1.bmp,S05-D-2.bmp,C,D,1,2,False,False,0.72689366,0.5709606991583398,871,568,C-D,1-2
S05,S05-C-1.bmp,S05-D-3.bmp,C,D,1,3,False,False,4.6511628e-10,4.6511627885343427e-10,871,1279,C-D,1-3
S05,S05-C-2.bmp,S05-C-3.bmp,C,C,2,3,True,False,0.9414802,0.8894308944887303,554,608,C-C,2-3
S05,S05-C-2.bmp,S05-D-1.bmp,C,D,2,1,False,False,1.1655011e-09,1.1655011641427725e-09,554,304,C-D,1-2
S05,S05-C-2.bmp,S05-D-2.bmp,C,D,2,2,False,True,0.60249555,0.43112244970520097,554,568,C-D,2-2
S05,S05-C-2.bmp,S05-D-3.bmp,C,D,2,3,False,False,5.455537e-10,5.455537367454698e-10,554,1279,C-D,2-3
S05,S05-C-3.bmp,S05-D-1.bmp,C,D,3,1,False,False,1.0964912e-09,1.0964912268678824e-09,608,304,C-D,1-3
S05,S05-C-3.bmp,S05-D-2.bmp,C,D,3,2,False,False,0.66156465,0.4942820845053595,608,568,C-D,2-3
S05,S05-C-3.bmp,S05-D-3.bmp,C,D,3,3,False,True,5.299417e-10,5.299417061314564e-10,608,1279,C-D,3-3
S05,S05-D-1.bmp,S05-D-2.bmp,D,D,1,2,True,False,1.146789e-09,1.146788989510563e-09,304,568,D-D,1-2
