name,spec_train_aug,spec_val_aug,spec_sampler,spec_optimizer,spec_epochs,spec_lr,spec_batch_size,spec_model,spec_loss,best_val,test_iou_background,test_dice_background,test_sens_background,test_spec_background,test_iou_abdomen,test_dice_abdomen,test_sens_abdomen,test_spec_abdomen,test_iou_cold,test_dice_cold,test_sens_cold,test_spec_cold,test_mIoU_real,test_mDice_real,minutes
A0_resnet18_baseline,none,val,uniform,sgd,30.0,0.001,8.0,resnet18_fcn,ce,0.3533347603079066,0.931396766474692,0.9644799894479854,0.9898700303500212,0.6663883411585578,0.5587256361278418,0.7169005541165255,0.6632766819102173,0.9710120409172656,0.0,0.0,0.0,0.9999999999999989,0.2793628180639209,0.35845027705826277,0.2
A1_resnet18_pretrained,none,val,uniform,sgd,30.0,0.001,8.0,resnet18_fcn_pre,ce,0.2464622858509813,0.9404053220689194,0.9692875105766362,0.9934574005828255,0.7002177361859513,0.5882159485148988,0.7407254020650339,0.6917768222115996,0.9727261299300607,0.0,0.0,0.0,0.9999999999999989,0.2941079742574494,0.37036270103251695,0.17
A2_unet_scratch_ce,none,val,uniform,adamw,60.0,0.001,8.0,unet_scratch,ce,0.4563630133375467,0.9431805194270839,0.970759546009823,0.9974641837100986,0.6941609449365053,0.6466015782101555,0.7853770903256475,0.7071872227151678,0.9854848733700575,0.0672177343603206,0.12596817349668618,0.0750608374590889,0.9971007270596712,0.3569096562852381,0.45567263191116686,0.6
A3_unet_ce_weighted,none,val,uniform,adamw,60.0,0.001,8.0,unet_scratch,ce_weighted,0.40429100334183743,0.9393079254073887,0.9687042610420614,0.9883482988395424,0.7225629925558585,0.5594997685355982,0.7175374819849827,0.6324482970445656,0.9798021807347661,0.2125243781891958,0.35054862733000597,0.3337668876394926,0.9858247342072495,0.386012073362397,0.5340430546574944,0.6
A4_unet_ce_dice,none,val,uniform,adamw,60.0,0.001,8.0,unet_scratch,ce_dice,0.4499486623430078,0.9557851215606336,0.9773927728808548,0.9919187475146449,0.7991046482500768,0.5979202172617769,0.7483730549280904,0.6545249091832893,0.9853344940735272,0.2767065350857184,0.43346928598143386,0.510573130821494,0.9789992973355035,0.43731337617374766,0.5909211704547621,0.63
A5_unet_focal_tversky,none,val,uniform,adamw,60.0,0.001,8.0,unet_scratch,focal_tversky,0.18802159388405604,0.7692105741705726,0.8695523137840027,0.7720146443995073,0.9806285446359119,0.3705055784736535,0.5406845244457735,0.9590395801575854,0.7539266031549097,0.09347053320860267,0.17096122916879955,0.10480825711168479,0.9969860488779251,0.23198805584112808,0.3558228768072865,0.71
A6_unet_ft_aug,light,val,uniform,adamw,60.0,0.001,8.0,unet_scratch,focal_tversky,0.19311628923506702,0.8363614181723354,0.9108897735443996,0.845171373075625,0.9440244583892601,0.4437583825585693,0.6147266577557928,0.943469918625191,0.825554141833522,0.06465076312451146,0.12144970982742913,0.06629185197616572,0.9993692700003951,0.2542045728415404,0.36808818379161096,0.84
A7_unet_ft_aug_sampler,light,val,cold_weighted,adamw,60.0,0.001,8.0,unet_scratch,focal_tversky,0.16859437039572112,0.8010961395725382,0.8895651064608532,0.8049053178412433,0.9747323257949878,0.3407583934034469,0.5083069329716431,0.7872803524977379,0.7970055722578384,0.22598124771684408,0.3686536774321646,0.46718972895861094,0.9734780641488887,0.2833698205601455,0.43848030520190384,0.85
A8_unetpp_effnetb3_pre,light,val,uniform,adamw,60.0,0.001,8.0,unetpp_effnetb3_pre,ce_dice,0.4462317392002741,0.9678917872128153,0.9836839540691105,0.9967619390654695,0.8414957640998578,0.6518475631190378,0.7892345246291511,0.7172206675312212,0.984463938927207,0.30811720763847894,0.47108501568405714,0.4914827557270919,0.9852127697282951,0.47998238537875837,0.6301597701566042,1.53
A9_unetpp_strong_aug,strong,val,cold_weighted,adamw,60.0,0.001,8.0,unetpp_effnetb3_pre,compound,0.43201941783426606,0.9644421378658382,0.9818992570721419,0.9815651715664636,0.9056540756488674,0.7226520673905767,0.838999448664325,0.905952570548837,0.96070635975192,0.10288032454360638,0.1865666151695657,0.10640261810857991,0.9991492963972275,0.4127661959670916,0.5127830319169453,1.67
N1_softlabel_unetpp_strong,,,,,,,,,,0.45606419339042287,0.9856314044154978,0.9927637145783703,0.9969226938636375,0.9391237884811717,0.747407012398342,0.8554469646685402,0.8503477199129309,0.9786637624665012,0.22323416312486707,0.36499007279946194,0.32394898044808573,0.98878968646985,0.4853205877616045,0.610218518734001,
O1_medsam_gtbox,,,,,,,,,,0.053689687795635356,,,,,,,,,0.14040998386636896,0.2462447468064642,0.1550269817152955,0.9974105519681485,,,
O1_medsam_gtbox,,,,,,,,,,0.5216065073714994,,,,,,,,,0.41821443647107015,0.5897760250018457,0.6228846859118445,0.9878268575412611,,,
