method,iou_cold,dice_cold,iou_abdomen,mIoU_real,sens_cold,spec_cold
A0_resnet18_baseline,0.0,0.0,0.5529093421355611,0.27645467106778054,,
A1_resnet18_pretrained,0.0,0.0,0.579410832249587,0.2897054161247935,,
A2_unet_scratch_ce,0.0672177343603206,0.12596817349668618,0.6466015782101555,0.3569096562852381,,
A3_unet_ce_weighted,0.186845857476559,0.31486120341495033,0.6551834498297319,0.42101465365314544,,
A4_unet_ce_dice,0.20967143504967206,0.3466584875438717,0.5857031540670085,0.3976872945583403,,
A5_unet_focal_tversky,0.09347053320860267,0.17096122916879955,0.3705055784736535,0.23198805584112808,,
A6_unet_ft_aug,0.16071222993974593,0.27692002512644964,0.4108855978924698,0.2857989139161079,,
A7_unet_ft_aug_sampler,0.05466590798243966,0.10366488111294833,0.4236374190907277,0.23915166353658368,,
A8_unetpp_effnetb3_pre,0.006367025509990099,0.012653485952132667,0.6243328206290905,0.3153499230695403,,
A9_unetpp_strong_aug,0.2850663145202881,0.4436600839960584,0.7722078196920747,0.5286370671061814,,
two_stage_gt_crop_oracle,0.1138089125252113,0.2043598524762841,,,0.13019216245698875,0.9964230832584439
two_stage_pred_crop,0.06615768433075638,0.12410487736114678,,,0.0923470672148992,0.9901637395929539
unsupervised_percentile,0.08899320944732324,0.15987683832645416,,,,
human_ceiling (inter-doctor),0.07913331780853294,0.1280907839536667,,,,
