subject,doctor_i,doctor_j,try_i,try_j,same_doctor,dice,iou
S05,B,B,2,3,True,0.71560204,0.5571498055551678
S05,B,C,2,1,False,0.21939394,0.12321307031467821
S05,B,C,2,2,False,0.17137924,0.09372049124321989
S05,B,C,2,3,False,0.18604651,0.10256410277521427
S05,B,D,2,1,False,0.13871777,0.07452807083242755
S05,B,D,2,2,False,0.16182484,0.08803558906859386
S05,B,D,2,3,False,1.866368e-10,1.8663680474306889e-10
S05,B,C,3,1,False,0.30485132,0.17983751876667745
S05,B,C,3,2,False,0.23766504,0.13485804450518216
S05,B,C,3,3,False,0.26193723,0.15070643675403986
S05,B,D,3,1,False,0.23135464,0.130808950460065
S05,B,D,3,2,False,0.25311205,0.144893111977477
S05,B,D,3,3,False,2.7754649e-10,2.775464889598816e-10
S05,C,C,1,2,True,0.7719298,0.6285714289959183
S05,C,C,1,3,True,0.8221772,0.6980482207829527
S05,C,D,1,1,False,8.5106383e-10,8.510638290629243e-10
S05,C,D,1,2,False,0.72689366,0.5709606991583398
S05,C,D,1,3,False,4.6511628e-10,4.6511627885343427e-10
S05,C,C,2,3,True,0.9414802,0.8894308944887303
S05,C,D,2,1,False,1.1655011e-09,1.1655011641427725e-09
S05,C,D,2,2,False,0.60249555,0.43112244970520097
S05,C,D,2,3,False,5.455537e-10,5.455537367454698e-10
S05,C,D,3,1,False,1.0964912e-09,1.0964912268678824e-09
S05,C,D,3,2,False,0.66156465,0.4942820845053595
S05,C,D,3,3,False,5.299417e-10,5.299417061314564e-10
S05,D,D,1,2,True,1.146789e-09,1.146788989510563e-09
S05,D,D,1,3,True,6.3171196e-10,6.317119389565938e-10
S05,D,D,2,3,True,5.414185e-10,5.414185162201307e-10
S06,A,A,1,2,True,0.10393552,0.05481644502802676
S06,A,A,1,3,True,0.11738608,0.062352710225613436
S06,A,B,1,1,False,0.055311248,0.02844221115292038
S06,A,B,1,2,False,0.15267606,0.08264714861414586
S06,A,B,1,3,False,0.16336818,0.08894988318705399
S06,A,C,1,1,False,0.038484547,0.019619802885064572
S06,A,C,1,2,False,0.06205674,0.032021958012399925
S06,A,C,1,3,False,0.06586709,0.034055098197209
S06,A,D,1,1,False,0.06855815,0.03549583886137613
S06,A,D,1,3,False,0.054268826,0.0278912243223537
S06,A,A,2,3,True,0.7775148,0.6360116170028929
S06,A,B,2,1,False,0.1268116,0.06769826008926666
S06,A,B,2,2,False,0.36028928,0.21972734625523066
S06,A,B,2,3,False,0.3436513,0.20747521036805855
S06,A,C,2,1,False,0.06659268,0.03444316988008821
S06,A,C,2,2,False,0.025415447,0.012871288106068031
S06,A,C,2,3,False,0.02684564,0.01360544313546604
S06,A,D,2,1,False,8.347245e-10,8.347245402047373e-10
S06,A,D,2,3,False,8.4033613e-10,8.403361337476166e-10
S06,A,B,3,1,False,0.18867925,0.10416666738448183
S06,A,B,3,2,False,0.4033426,0.2526168881698416
S06,A,B,3,3,False,0.36941302,0.22655218016740278
S06,A,C,3,1,False,0.15659575,0.08494921598804318
S06,A,C,3,2,False,0.13261372,0.07101569027992097
S06,A,C,3,3,False,0.13971147,0.07510204157134526
S06,A,D,3,1,False,6.793478e-10,6.79347825625443e-10
S06,A,D,3,3,False,6.830601e-10,6.830601088230463e-10
S06,B,B,1,2,True,0.38709676,0.2400000007794872
S06,B,B,1,3,True,0.2848151,0.16605504663664672
S06,B,C,1,1,False,0.054329373,0.02792321286575356
S06,B,C,1,2,False,0.24472573,0.1394230783022066
S06,B,C,1,3,False,0.1751026,0.09595202534340026
S06,B,D,1,1,False,1.1286682e-09,1.1286681702836701e-09
S06,B,D,1,3,False,1.1389522e-09,1.1389521627118996e-09
S06,B,B,2,3,True,0.8779621,0.7824709611589535
S06,B,C,2,1,False,0.3836978,0.237392374861756
S06,B,C,2,2,False,0.53723407,0.3672727280396694
S06,B,C,2,3,False,0.5017422,0.33488372170362357
S06,B,D,2,1,False,7.674597e-10,7.674597077763163e-10
S06,B,D,2,3,False,7.7220075e-10,7.722007716044781e-10
S06,B,C,3,1,False,0.36142322,0.22057142946220407
S06,B,C,3,2,False,0.4907563,0.32516703861339974
S06,B,C,3,3,False,0.4876033,0.3224043723252411
S06,B,D,3,1,False,7.3260076e-10,7.326007320640287e-10
S06,B,D,3,3,False,7.369197e-10,7.36919675212292e-10
S06,C,C,1,2,True,0.6732283,0.5074183990877792
S06,C,C,1,3,True,0.6666667,0.5000000014204545
S06,C,D,1,1,False,1.4641288e-09,1.4641288411945404e-09
S06,C,D,1,3,False,1.4814815e-09,1.481481479286694e-09
S06,C,C,2,3,True,0.84615386,0.7333333340444445
S06,C,D,2,1,False,1.242236e-09,1.2422360233015701e-09
S06,C,D,2,3,False,1.2547051e-09,1.2547051427168064e-09
S06,C,D,3,1,False,1.2121212e-09,1.2121212106519742e-09
S06,C,D,3,3,False,1.2239902e-09,1.2239902065801832e-09
S06,D,D,1,3,True,1.0288066e-09,1.0288065833036969e-09
S07,A,A,1,2,True,0.6758621,0.5104166668166616
S07,A,A,1,3,True,0.42337453,0.26853208331841016
S07,A,B,1,1,False,0.0034071554,0.001706485067531363
S07,A,B,1,2,False,0.10142631,0.05342237101276195
S07,A,B,1,3,False,0.2732644,0.1582549190939885
S07,A,C,1,1,False,0.20705882,0.1154855646361134
S07,A,C,1,2,False,0.14739802,0.07956270905570523
S07,A,C,1,3,False,0.3606383,0.21998702166775244
S07,A,D,1,1,False,0.13939981,0.07492195677683561
S07,A,D,1,2,False,4.930966e-10,4.930966466996564e-10
S07,A,D,1,3,False,5.022602e-10,5.022601705161928e-10
S07,A,A,2,3,True,0.45525968,0.2947159842411207
S07,A,B,2,1,False,2.8653296e-10,2.8653295120729714e-10
S07,A,B,2,2,False,0.05237316,0.02689075657510063
S07,A,B,2,3,False,0.18025973,0.0990579505854816
S07,A,C,2,1,False,0.4765606,0.31281887777014705
S07,A,C,2,2,False,0.39557165,0.2465498940428477
S07,A,C,2,3,False,0.5369237,0.3669827107175174
S07,A,D,2,1,False,0.08416459,0.043931012351470546
S07,A,D,2,2,False,3.154574e-10,3.1545741314969797e-10
S07,A,D,2,3,False,0.061283115,0.03161014190595649
S07,A,B,3,1,False,0.031029228,0.015759110874383128
S07,A,B,3,2,False,0.080324546,0.04184277274699313
S07,A,B,3,3,False,0.13642961,0.0732087228726694
S07,A,C,3,1,False,0.16339536,0.08896599596266953
S07,A,C,3,2,False,0.19439828,0.10766399380732693
S07,A,C,3,3,False,0.2565172,0.1471291867162242
S07,A,D,3,1,False,0.040939886,0.02089771905505552
S07,A,D,3,2,False,1.4494854e-10,1.4494854324613007e-10
S07,A,D,3,3,False,1.4573011e-10,1.4573010781904251e-10
S07,B,B,1,2,True,0.3210332,0.19120879209757274
S07,B,B,1,3,True,0.41324922,0.26043737648067855
S07,B,C,1,1,False,6.5146577e-10,6.514657976211949e-10
S07,B,C,1,2,False,0.06619386,0.034229829323114996
S07,B,C,1,3,False,0.05086207,0.026094648816411034
S07,B,D,1,1,False,0.0031948898,0.0016000015974399974
S07,B,D,1,2,False,1.7006803e-09,1.70068026921653e-09
S07,B,D,1,3,False,1.814882e-09,1.8148820293740797e-09
S07,B,B,2,3,True,0.4362881,0.2790079722949442
S07,B,C,2,1,False,5.8445354e-10,5.844535356023065e-10
S07,B,C,2,2,False,0.025316456,0.012820513256931693
S07,B,C,2,3,False,0.048076924,0.024630542272319155
S07,B,D,2,1,False,0.29426435,0.17251462109281487
S07,B,D,2,2,False,1.3089005e-09,1.3089005218469888e-09
S07,B,D,2,3,False,1.3755158e-09,1.3755158165398681e-09
S07,B,C,3,1,False,5.277045e-10,5.277044852096546e-10
S07,B,C,3,2,False,0.10989899,0.05814450660190487
S07,B,C,3,3,False,0.27835822,0.16168183824807897
S07,B,D,3,1,False,0.3326572,0.19951338296896182
S07,B,D,3,2,False,1.0548523e-09,1.054852319562392e-09
S07,B,D,3,3,False,1.0976948e-09,1.0976948396293141e-09
S07,C,C,1,2,True,0.6630197,0.4959083472471858
S07,C,C,1,3,True,0.629793,0.4596334821893841
S07,C,D,1,1,False,7.980846e-10,7.980845963303394e-10
S07,C,D,1,2,False,8.2304524e-10,8.230452668123083e-10
S07,C,D,1,3,False,0.039049234,0.01991342076197972
S07,C,C,2,3,True,0.69350725,0.5308159724258612
S07,C,D,2,1,False,5.455537e-10,5.455537367454698e-10
S07,C,D,2,2,False,5.571031e-10,5.571030637564885e-10
S07,C,D,2,3,False,0.08646189,0.04518430496719125
S07,C,D,3,1,False,0.08537782,0.04459251714782546
S07,C,D,3,2,False,5e-10,4.9999999975e-10
S07,C,D,3,3,False,0.008150791,0.004092072120669016
S07,D,D,1,2,True,3.267974e-09,3.2679738455294972e-09
S07,D,D,1,3,True,3.717472e-09,3.7174721051395087e-09
S07,D,D,2,3,True,4.3290043e-09,4.329004310264051e-09
S08,A,A,1,2,True,0.56790125,0.39655172934007127
S08,A,A,1,3,True,1.1494253e-08,1.149425274144537e-08
S08,A,B,1,1,False,0.17975207,0.09875141986520837
S08,A,B,1,2,False,0.2242268,0.12626995772674898
S08,A,B,1,3,False,0.1743487,0.09549945214544517
S08,A,C,1,1,False,2.6666667e-09,2.6666666595555553e-09
S08,A,C,1,2,False,1.610306e-09,1.6103059555389597e-09
S08,A,C,1,3,False,1.6722408e-09,1.672240799879196e-09
S08,A,D,1,1,False,6.9444446e-09,6.944444396219136e-09
S08,A,D,1,2,False,1.8181818e-09,1.818181814876033e-09
S08,A,D,1,3,False,2.4752476e-09,2.4752475186256248e-09
S08,A,A,2,3,True,1.33333335e-08,1.3333333155555557e-08
S08,A,B,2,1,False,0.15690376,0.08513053452312085
S08,A,B,2,2,False,0.19633508,0.10885341203359446
S08,A,B,2,3,False,0.15212981,0.08232711406989339
S08,A,C,2,1,False,2.754821e-09,2.75482092905008e-09
S08,A,C,2,2,False,1.6420362e-09,1.6420361220984628e-09
S08,A,C,2,3,False,1.7064846e-09,1.7064846387261353e-09
S08,A,D,2,1,False,7.575758e-09,7.575757518365473e-09
S08,A,D,2,2,False,1.858736e-09,1.858736056024654e-09
S08,A,D,2,3,False,2.5510205e-09,2.55102040165556e-09
S08,A,B,3,1,False,1.1350738e-09,1.1350737785072942e-09
S08,A,B,3,2,False,1.4513788e-09,1.4513788077628754e-09
S08,A,B,3,3,False,1.0976948e-09,1.0976948396293141e-09
S08,A,C,3,1,False,3.4722223e-09,3.472222210165895e-09
S08,A,C,3,2,False,1.8726591e-09,1.87265917252311e-09
S08,A,C,3,3,False,1.956947e-09,1.9569471585969723e-09
